"# Object_Counted","# Non-tracers","# Tracers"
25,4,21
25,4,21
25,2,23
25,3,22
25,4,21
25,3,22
25,5,20
25,5,20
25,5,20
25,5,20
25,4,21
25,3,22
25,6,19
25,6,19
25,1,24
25,6,19
25,3,22
25,5,20
25,3,22
25,4,21
25,6,19
25,2,23
25,5,20
25,6,19
25,6,19
25,2,23
25,7,18
25,6,19
25,3,22
25,5,20
25,7,18
25,9,16
25,5,20
25,3,22
25,5,20
25,3,22
25,2,23
25,4,21
25,7,18
25,6,19
25,5,20
25,4,21
25,7,18
25,3,22
25,3,22
25,5,20
25,4,21
25,3,22
25,5,20
25,3,22
25,5,20
25,4,21
25,8,17
25,6,19
25,6,19
25,6,19
25,13,12
25,8,17
25,10,15
25,5,20
25,5,20
25,9,16
25,12,13
25,11,14
25,3,22
25,5,20
25,11,14
25,12,13
25,6,19
25,6,19
25,8,17
25,7,18
25,8,17
25,6,19
25,9,16
25,7,18
25,10,15
25,4,21
25,10,15
25,10,15
25,3,22
25,8,17
25,7,18
25,6,19
25,7,18
25,5,20
25,8,17
25,8,17
25,6,19
25,3,22
25,10,15
25,5,20
25,6,19
25,4,21
25,5,20
25,3,22
25,5,20
25,5,20
25,6,19
25,4,21
25,11,14
25,11,14
25,12,13
25,8,17
25,14,11
25,13,12
25,8,17
25,9,16
25,8,17
25,8,17
25,11,14
25,9,16
25,7,18
25,11,14
25,12,13
25,9,16
25,14,11
25,14,11
25,7,18
25,13,12
25,13,12
25,9,16
25,11,14
25,15,10
25,14,11
25,11,14
25,10,15
25,7,18
25,10,15
25,8,17
25,6,19
25,11,14
25,11,14
25,9,16
25,8,17
25,13,12
25,11,14
25,13,12
25,10,15
25,10,15
25,11,14
25,13,12
25,10,15
25,13,12
25,11,14
25,11,14
25,9,16
25,17,8
25,12,13
25,10,15
25,14,11
25,17,8
25,18,7
25,15,10
25,16,9
25,14,11
25,16,9
25,15,10
25,15,10
25,12,13
25,16,9
25,15,10
25,16,9
25,14,11
25,16,9
25,16,9
25,17,8
25,17,8
25,19,6
25,15,10
25,13,12
25,17,8
25,19,6
25,16,9
25,15,10
25,17,8
25,15,10
25,19,6
25,16,9
25,16,9
25,14,11
25,12,13
25,18,7
25,16,9
25,13,12
25,17,8
25,15,10
25,16,9
25,14,11
25,12,13
25,13,12
25,15,10
25,14,11
25,17,8
25,17,8
25,16,9
25,17,8
25,16,9
25,20,5
25,17,8
25,18,7
25,17,8
25,20,5
25,15,10
25,17,8
25,24,1
25,25,0
25,22,3
25,21,4
25,19,6
25,17,8
25,21,4
25,20,5
25,18,7
25,22,3
25,19,6
25,22,3
25,15,10
25,21,4
25,20,5
25,16,9
25,22,3
25,18,7
25,22,3
25,20,5
25,19,6
25,21,4
25,15,10
25,19,6
25,22,3
25,18,7
25,21,4
25,23,2
25,17,8
25,19,6
25,20,5
25,20,5
25,20,5
25,21,4
25,23,2
25,21,4
25,18,7
25,17,8
25,21,4
25,19,6
25,21,4
25,19,6
25,16,9
25,20,5
25,21,4
25,24,1
25,22,3
25,20,5
25,20,5
25,20,5
25,20,5
25,22,3
25,23,2
25,23,2
25,18,7
25,22,3
25,22,3
25,18,7
25,23,2
25,20,5
25,23,2
25,20,5
25,21,4
25,21,4
25,23,2
25,20,5
25,22,3
25,23,2
25,21,4
25,24,1
25,22,3
25,21,4
25,20,5
25,21,4
25,23,2
25,20,5
25,23,2
25,18,7
25,21,4
25,18,7
25,21,4
25,22,3
25,21,4
25,20,5
25,22,3
25,20,5
25,22,3
25,20,5
25,19,6
25,21,4
25,20,5
25,22,3
25,22,3
25,23,2
25,22,3
25,24,1
25,22,3
25,22,3
25,19,6
25,24,1
25,23,2
25,24,1
25,20,5
25,23,2
25,23,2
25,22,3
25,24,1
25,25,0
25,23,2
25,24,1
25,22,3
25,22,3
25,23,2
25,23,2
25,24,1
25,23,2
25,23,2
25,22,3
25,23,2
25,21,4
25,23,2
25,23,2
25,23,2
25,24,1
25,24,1
25,23,2
25,21,4
25,24,1
25,23,2
25,24,1
25,23,2
25,23,2
25,22,3
25,22,3
25,24,1
25,21,4
25,23,2
25,22,3
25,21,4
25,22,3
25,23,2
25,24,1
25,23,2
25,25,0
25,25,0
25,25,0
25,24,1
25,24,1
25,25,0
25,25,0
25,25,0
25,24,1
25,23,2
25,23,2
25,25,0
25,25,0
25,23,2
25,24,1
25,24,1
25,24,1
25,23,2
25,25,0
25,24,1
25,23,2
25,25,0
25,25,0
25,24,1
25,22,3
25,24,1
25,25,0
25,25,0
25,24,1
25,23,2
25,23,2
25,24,1
25,24,1
25,23,2
25,25,0
25,24,1
25,24,1
25,25,0
25,24,1
25,22,3
25,22,3
25,23,2
25,25,0
25,24,1
25,24,1
25,25,0
25,23,2
25,24,1
25,25,0
25,24,1
25,22,3
25,25,0
25,25,0
25,25,0
25,24,1
25,25,0
25,24,1
25,25,0
25,25,0
25,25,0
25,24,1
25,25,0
25,25,0
25,25,0
25,23,2
25,25,0
25,24,1
25,23,2
25,25,0
25,23,2
25,25,0
25,25,0
25,25,0
25,25,0
25,24,1
25,25,0
25,24,1
25,24,1
25,25,0
25,25,0
25,25,0
25,25,0
25,25,0
25,23,2
25,25,0
25,25,0
25,25,0
25,25,0
25,23,2
25,25,0
25,24,1
25,25,0
25,25,0
25,25,0
25,25,0
25,25,0
25,25,0
25,23,2
25,25,0
25,25,0
25,25,0
25,24,1
25,24,1
25,25,0
25,25,0
25,25,0
25,25,0
25,23,2
25,25,0
25,24,1
25,25,0
25,25,0
25,25,0
25,24,1
25,25,0
25,24,1
25,25,0
25,25,0
25,24,1
25,25,0
25,25,0
25,25,0
25,25,0
25,25,0
25,24,1
25,25,0
25,25,0
25,25,0
25,25,0
25,25,0
25,25,0
25,25,0
25,25,0
25,25,0
25,25,0
25,25,0
25,25,0
25,25,0
25,25,0
25,25,0
25,25,0
25,25,0
25,25,0
25,25,0
25,25,0
25,24,1
25,25,0
25,24,1
25,25,0
25,24,1
25,25,0
25,24,1
50,8,42
50,10,40
50,9,41
50,11,39
50,14,36
50,10,40
50,9,41
50,6,44
50,10,40
50,8,42
50,7,43
50,8,42
50,7,43
50,3,47
50,10,40
50,13,37
50,9,41
50,12,38
50,3,47
50,12,38
50,5,45
50,12,38
50,14,36
50,7,43
50,12,38
50,17,33
50,10,40
50,6,44
50,6,44
50,5,45
50,12,38
50,8,42
50,11,39
50,3,47
50,10,40
50,12,38
50,7,43
50,16,34
50,6,44
50,8,42
50,5,45
50,7,43
50,10,40
50,12,38
50,9,41
50,8,42
50,6,44
50,4,46
50,9,41
50,14,36
50,16,34
50,14,36
50,10,40
50,12,38
50,14,36
50,10,40
50,10,40
50,18,32
50,13,37
50,14,36
50,12,38
50,13,37
50,19,31
50,11,39
50,20,30
50,17,33
50,14,36
50,12,38
50,7,43
50,18,32
50,13,37
50,13,37
50,18,32
50,23,27
50,11,39
50,13,37
50,13,37
50,22,28
50,10,40
50,15,35
50,17,33
50,10,40
50,7,43
50,13,37
50,12,38
50,14,36
50,12,38
50,13,37
50,13,37
50,12,38
50,18,32
50,14,36
50,13,37
50,14,36
50,16,34
50,10,40
50,13,37
50,11,39
50,11,39
50,13,37
50,17,33
50,22,28
50,23,27
50,22,28
50,23,27
50,22,28
50,27,23
50,19,31
50,26,24
50,20,30
50,24,26
50,26,24
50,23,27
50,21,29
50,24,26
50,26,24
50,21,29
50,23,27
50,27,23
50,19,31
50,24,26
50,18,32
50,23,27
50,19,31
50,18,32
50,22,28
50,25,25
50,31,19
50,30,20
50,24,26
50,15,35
50,22,28
50,21,29
50,18,32
50,28,22
50,14,36
50,23,27
50,27,23
50,23,27
50,22,28
50,24,26
50,23,27
