"ReplicateID","# tracers added (true)","# spores in the sample (true)","# counts","# spores counted","# tracers counted"
1,10000,15,25,0,25
2,10000,15,25,0,25
3,10000,15,25,0,25
4,10000,15,25,0,25
5,10000,15,25,0,25
1,10000,31,25,0,25
2,10000,31,25,0,25
3,10000,31,25,0,25
4,10000,31,25,0,25
5,10000,31,25,0,25
1,10000,64,25,0,25
2,10000,64,25,1,24
3,10000,64,25,0,25
4,10000,64,25,0,25
5,10000,64,25,0,25
1,10000,131,25,0,25
2,10000,131,25,0,25
3,10000,131,25,3,22
4,10000,131,25,0,25
5,10000,131,25,0,25
1,10000,270,25,0,25
2,10000,270,25,0,25
3,10000,270,25,1,24
4,10000,270,25,0,25
5,10000,270,25,2,23
1,10000,556,25,1,24
2,10000,556,25,2,23
3,10000,556,25,2,23
4,10000,556,25,1,24
5,10000,556,25,1,24
1,10000,1145,25,3,22
2,10000,1145,25,2,23
3,10000,1145,25,2,23
4,10000,1145,25,3,22
5,10000,1145,25,1,24
1,10000,2358,25,3,22
2,10000,2358,25,7,18
3,10000,2358,25,7,18
4,10000,2358,25,2,23
5,10000,2358,25,10,15
1,10000,4855,25,10,15
2,10000,4855,25,5,20
3,10000,4855,25,11,14
4,10000,4855,25,7,18
5,10000,4855,25,12,13
1,10000,10000,25,14,11
2,10000,10000,25,10,15
3,10000,10000,25,13,12
4,10000,10000,25,12,13
5,10000,10000,25,15,10
1,11958,18,25,0,25
2,11958,18,25,0,25
3,11958,18,25,0,25
4,11958,18,25,1,24
5,11958,18,25,0,25
1,11958,37,25,0,25
2,11958,37,25,0,25
3,11958,37,25,0,25
4,11958,37,25,0,25
5,11958,37,25,0,25
1,11958,76,25,0,25
2,11958,76,25,0,25
3,11958,76,25,0,25
4,11958,76,25,0,25
5,11958,76,25,0,25
1,11958,157,25,0,25
2,11958,157,25,0,25
3,11958,157,25,0,25
4,11958,157,25,0,25
5,11958,157,25,0,25
1,11958,323,25,2,23
2,11958,323,25,1,24
3,11958,323,25,0,25
4,11958,323,25,0,25
5,11958,323,25,0,25
1,11958,665,25,2,23
2,11958,665,25,2,23
3,11958,665,25,0,25
4,11958,665,25,1,24
5,11958,665,25,0,25
1,11958,1369,25,4,21
2,11958,1369,25,1,24
3,11958,1369,25,1,24
4,11958,1369,25,1,24
5,11958,1369,25,5,20
1,11958,2819,25,6,19
2,11958,2819,25,3,22
3,11958,2819,25,1,24
4,11958,2819,25,4,21
5,11958,2819,25,4,21
1,11958,5806,25,8,17
2,11958,5806,25,6,19
3,11958,5806,25,4,21
4,11958,5806,25,8,17
5,11958,5806,25,7,18
1,11958,11958,25,12,13
2,11958,11958,25,13,12
3,11958,11958,25,12,13
4,11958,11958,25,16,9
5,11958,11958,25,14,11
1,14300,21,25,0,25
2,14300,21,25,0,25
3,14300,21,25,0,25
4,14300,21,25,0,25
5,14300,21,25,0,25
1,14300,44,25,0,25
2,14300,44,25,0,25
3,14300,44,25,0,25
4,14300,44,25,0,25
5,14300,44,25,0,25
1,14300,91,25,0,25
2,14300,91,25,0,25
3,14300,91,25,1,24
4,14300,91,25,0,25
5,14300,91,25,0,25
1,14300,187,25,1,24
2,14300,187,25,0,25
3,14300,187,25,0,25
4,14300,187,25,1,24
5,14300,187,25,1,24
1,14300,386,25,0,25
2,14300,386,25,1,24
3,14300,386,25,0,25
4,14300,386,25,0,25
5,14300,386,25,0,25
1,14300,795,25,0,25
2,14300,795,25,1,24
3,14300,795,25,0,25
4,14300,795,25,1,24
5,14300,795,25,1,24
1,14300,1637,25,2,23
2,14300,1637,25,1,24
3,14300,1637,25,4,21
4,14300,1637,25,1,24
5,14300,1637,25,1,24
1,14300,3371,25,9,16
2,14300,3371,25,4,21
3,14300,3371,25,5,20
4,14300,3371,25,2,23
5,14300,3371,25,5,20
1,14300,6943,25,9,16
2,14300,6943,25,5,20
3,14300,6943,25,6,19
4,14300,6943,25,9,16
5,14300,6943,25,13,12
1,14300,14300,25,10,15
2,14300,14300,25,13,12
3,14300,14300,25,10,15
4,14300,14300,25,13,12
5,14300,14300,25,11,14
1,17100,26,25,0,25
2,17100,26,25,0,25
3,17100,26,25,0,25
4,17100,26,25,0,25
5,17100,26,25,0,25
1,17100,53,25,0,25
